"Date","Name","Nationality","Cause of death","Mountain"
"2019-05-16","Kuntal Kanrar","India","Exposure, frostbite","Kangchenjunga"
"2019-05-15","Rodrigo Francisco Vivanco Figueroa","Chile","Unknown (disappeared)","Kangchenjunga"
"2014-05-20","Chhanda Gayen","India","Fall on descent above Camp 4 on Yalung Kang","Kangchenjunga"
"2014-05-20","Migma Temba Sherpa","Nepal","Fall on descent above Camp 4 on Yalung Kang","Kangchenjunga"
"2014-05-20","Dawa Wangchu Sherpa","Nepal","Fall on descent above Camp 4 on Yalung Kang","Kangchenjunga"
"2013-05-20","Bibas Gurung Sherpa","Nepal","Fall","Kangchenjunga"
"2013-05-20","Phu Dorchi Sherpa","Nepal","Fall","Kangchenjunga"
"2013-05-20","Park Nam-soo","South Korea","Fall","Kangchenjunga"
"2013-05-20","Péter Kiss","Hungary","Fall on descent above Camp 4","Kangchenjunga"
"2013-05-20","Zsolt Erőss","Hungary","Exhaustion","Kangchenjunga"
"2007-05-24","Iñigo de Pineda Blanc","Spain","Fall","Kangchenjunga"
"2002-05-24","Christopher Hugh ""Chris"" Grasswick","Canada","Fall","Kangchenjunga"
"2000-04-23","Ang Dawa Tamang","Nepal","Hit by ice block","Kangchenjunga"
"1999-09-14","Hyun Myeong-kun","South Korea","Avalanche","Kangchenjunga"
"1999-09-14","Han Do-kyu","South Korea","Avalanche","Kangchenjunga"
"1998-05-16","Shiina Atsushi","Japan","Altitude sickness","Kangchenjunga"
"1998-05-16","Akasaka Kenzo","Japan","Fall","Kangchenjunga"
"1995-10-06","Benoît Chamoux","France","Fall","Kangchenjunga"
"1995-10-06","Riku Sherpa","Nepal","Fall","Kangchenjunga"
"1995-10-05","Pierre Alain Royer","France","Fall","Kangchenjunga"
"1995-01-01","Sukaraj Limbu","Nepal","Altitude sickness","Kangchenjunga"
"1994-10-23","Iordanka Ivanova Dimitrova","Bulgaria","Avalanche","Kangchenjunga"
"1994-10-09","Sergei Zhvirblya","Belarus","Avalanche","Kangchenjunga"
"1994-10-09","Ekaterina Ivanova","Russia","Avalanche","Kangchenjunga"
"1992-05-13","Wanda Rutkiewicz","Poland","Unknown (disappeared)","Kangchenjunga"
"1992-04-25","Ang Dorje Sherpa","Nepal","Suffocation","Kangchenjunga"
"1992-04-25","Lhakpa Nuru Sherpa","Nepal","Suffocation","Kangchenjunga"
"1991-05-16","Pasang Sherpa","India","Fall","Kangchenjunga"
"1991-05-03","Jože Rozman","Yugoslavia","Fall","Kangchenjunga"
"1991-05-03","Marija Frantar","Yugoslavia","Fall","Kangchenjunga"
"1989-12-20","Tchiring Chumbi Lama Sherpa","Nepal","Fall on Yalung Kang","Kangchenjunga"
"1989-12-20","Ang Dawa Sherpa","Nepal","Fall on Yalung Kang","Kangchenjunga"
"1989-12-20","Jin Kyo-sup","South Korea","Fall on Yalung Kang","Kangchenjunga"
"1988-05-17","Sanjay Borole","India","Exhaustion","Kangchenjunga"
"1987-05-31","Chander Singh","India","Fall","Kangchenjunga"
"1987-05-25","Choten Tsering","India","Fall","Kangchenjunga"
"1987-05-25","Phupu Bhotia","India","Fall","Kangchenjunga"
"1987-05-25","Phu Dorjee Sherpa","India","Fall","Kangchenjunga"
"1986-01-11","Andrzej ""Leszek"" Czok","Poland","Altitude sickness","Kangchenjunga"
"1985-04-22","Borut Bergant","Yugoslavia","Fall on Yalung Kang","Kangchenjunga"
"1985-01-15","Chris Howard Chandler","United States","Altitude sickness","Kangchenjunga"
"1981-10-15","Jean-Jacques Ricouard","France","Fall","Kangchenjunga"
"1980-05-04","Alfonso Medina Rubio","Mexico","Fall on Yalung Kang","Kangchenjunga"
"1980-05-04","Sergio Hugo Saldaña Meneses","Mexico","Fall on Yalung Kang","Kangchenjunga"
"1977-04-08","Sukhvinder Singh","India","Fall","Kangchenjunga"
"1973-05-15","Matsuda Takao","Japan","Hit by rock after summitting Yalung Kang","Kangchenjunga"
"1955-05-26","Pemi Dorje Sherpa","India","Unknown illness","Kangchenjunga"
"1931-08-09","Hermann ""Xaverl"" Schaller","Germany","Avalanche","Kangchenjunga"
"1931-08-09","Pasang Sherpa","British Raj","Avalanche","Kangchenjunga"
"1931-08-01","Babu Lall","British Raj","Blackwater fever","Kangchenjunga"
"1931-07-01","Lobsang","British Raj","Unknown illness","Kangchenjunga"
"1930-05-08","Chettan Sherpa","British Raj","Avalanche","Kangchenjunga"
"1929-05-27","Edgar Francis Farmer","United States","Unknown (disappeared)","Kangchenjunga"
"1905-09-01","Unknown","British Raj","Fall","Kangchenjunga"
"1905-09-01","Alexis A. Pache","Switzerland","Fall","Kangchenjunga"
"1905-08-28","Unnamed porter","British Raj","Fall","Kangchenjunga"
"2022-05-08","Khudam Bir Tamang","Nepal","Avalanche on south face","Lhotse"
"2019-05-17","Ivan Tomov","Bulgaria","HACE","Lhotse"
"2018-05-17","Rustem Amirov","Russia","Altitude sickness","Lhotse"
"2016-05-19","Ang Phurba Sherpa","Nepal","Fall","Lhotse"
"2015-04-27","Yomagato Horoshi","Japan","2015 Mount Everest avalanche (died in Kathmandu of injuries)","Lhotse"
"2015-04-25","Ge Zhen-fang","China","2015 Mount Everest avalanche","Lhotse"
"2014-04-18","Asman Tamang","Nepal","2014 Mount Everest ice avalanche","Lhotse"
"2013-05-20","Lee Hsiao-shih","Taiwan","Altitude sickness","Lhotse"
"2012-10-16","Temba Sherpa","Nepal","Fall","Lhotse"
"2012-05-19","Milan Sedláček","Czech Republic","Exposure, frostbite","Lhotse"
"2010-05-07","Sergei Duganov","Russia","Altitude sickness","Lhotse"
"2009-05-25","Sergei Samoilov","Kazakhstan","Fall","Lhotse"
"2007-05-21","Pemba Doma Thaktopa Sherpa","Nepal","Fall","Lhotse"
"2006-05-09","Pavel Kalný","Czech Republic","Fall","Lhotse"
"2003-10-05","Hwang Sun-dug","South Korea","Avalanche on Lhotse Shar","Lhotse"
"2003-10-05","Park Joo-hoon","South Korea","Avalanche on Lhotse Shar","Lhotse"
"2000-09-17","Vladimir Bondarev","Russia","Avalanche","Lhotse"
"1997-05-27","Vladimir Bachkirov","Russia","Altitude sickness","Lhotse"
"1989-10-24","Jerzy Kukuczka","Poland","Fall","Lhotse"
"1987-09-27","Antoni ""Toni"" Sors Ferrer","Spain","Avalanche on Lhotse Shar","Lhotse"
"1987-09-27","Sergio Reinaldo Escalera Fernandez","Spain","Avalanche on Lhotse Shar","Lhotse"
"1987-09-27","Francisco Porras Cerda","Spain","Avalanche on Lhotse Shar","Lhotse"
"1987-09-27","Antonio Quiñones Tores","Spain","Avalanche on Lhotse Shar","Lhotse"
"1987-09-15","Czesław Jakiel","Poland","Avalanche","Lhotse"
"1986-10-30","Pedro Alonso Lopez","Spain","Fall on Lhotse Shar","Lhotse"
"1985-10-25","Rafał Chołda","Poland","Fall","Lhotse"
"1981-10-25","Josef Fauchere","Switzerland","Fall on Lhotse Shar","Lhotse"
"1981-10-16","Philippe Petten","Switzerland","Fall on Lhotse Shar","Lhotse"
"1981-10-16","Pierre Favez","Switzerland","Fall on Lhotse Shar","Lhotse"
"1980-05-17","Pasang Nima Sherpa","Nepal","Avalanche","Lhotse"
"1980-04-28","Nicolas Jaeger","France","Unknown (disappeared on Lhotse Shar)","Lhotse"
"1977-05-12","Max Lutz","West Germany","Fall","Lhotse"
"1974-12-17","Stanislaw Latałło","Poland","Exhaustion","Lhotse"
"2021-10-24","Henrik T. Adersen","Denmark","Unknown (died near Base Camp; likely a trekker as no climbing permits were issued in autumn 2021)","Makalu"
"2019-05-24","Nima Tenji Sherpa","Nepal","Storm, altitude sickness","Makalu"
"2019-05-16","Dipankar Ghosh","India","Exhaustion","Makalu"
"2019-05-16","Narayan Singh","India","Exhaustion","Makalu"
"2019-05-08","Richard Leopoldo Hidalgo Jara","Peru","Died in sleep, likely altitude sickness","Makalu"
"2018-05-15","Ang Dawa Sherpa","Nepal","Unknown illness","Makalu"
"2016-05-10","Lakpa Ongyal Sherpa","Nepal","Unknown illness","Makalu"
"2016-05-10","Da Tenji Sherpa","Nepal","Unknown illness","Makalu"
"2014-05-02","Yannick Claude Sylvain Gagneret","France","HACE","Makalu"
"2013-04-23","Liu Xiang-yang","China","Fall during descent","Makalu"
"2011-05-22","Joëlle Catherine Brupbacher","Switzerland","Altitude sickness","Makalu"
"2010-05-26","Zaharias ""Haris"" Kiriakakis","Greece","Unknown (disappeared)","Makalu"
"2009-05-01","Sangat Ram Thakur","India","Fall","Makalu"
"2008-05-20","Nil Prasad Gurung","Nepal","Altitude sickness","Makalu"
"2008-04-24","Drabey Bahadur Rajan Magar","Nepal","Falling rock/ice","Makalu"
"2006-01-27","Jean-Christophe Lafaille","France","Fall into crevasse","Makalu"
"2005-05-15","Sumba Sherpa","Nepal","Altitude sickness","Makalu"
"2004-05-18","Jay Sieger","United States","Fall","Makalu"
"2004-05-17","Vladislav Terzyul","Ukraine","Unknown (disappeared)","Makalu"
"2002-04-25","Raymond David Caughron","United States","Exposure, frostbite","Makalu"
"2002-01-01","Pramod Sunar","Nepal","Unspecified","Makalu"
"2002-01-01","Karma Wangchu Sherpa","Nepal","Unspecified","Makalu"
"2002-01-01","Prakash Kundip Karki","Nepal","Unspecified","Makalu"
"2002-01-01","Ongchhu Sherpa","Nepal","Unspecified","Makalu"
"2002-01-01","Sarki Sherpa","Nepal","Unspecified","Makalu"
"2002-01-01","Nima Dorje Tamang","Nepal","Unspecified","Makalu"
"2001-05-14","Erich Resch","Austria","Fall","Makalu"
"2000-05-16","Bernd Mehnert","Germany","Altitude sickness","Makalu"
"1999-10-11","Sange Pemba Sherpa","Nepal","Fall","Makalu"
"1999-04-30","Michael Knakkergaard-Jørgensen","Denmark","Fall","Makalu"
"1997-10-12","Per Lyhne","Denmark","Unknown illness","Makalu"
"1997-05-24","Igor Bougatshevski","Russia","Falling rock/ice","Makalu"
"1997-05-21","Salavat Khabibulin","Russia","Exhaustion","Makalu"
"1996-05-14","Anatoli Chlekht","Russia","Fall","Makalu"
"1995-05-08","David Victor Hume","Australia","Fall","Makalu"
"1991-10-08","Ishizaka Takumi","Japan","Exposure, frostbite","Makalu"
"1991-10-02","Manuel ""Manu"" Badiola Otegi","Spain","Fall","Makalu"
"1988-10-14","Ryszard Kołakowski","Poland","Fall","Makalu"
"1986-09-25","Marcel Rüedi","Switzerland","Altitude sickness","Makalu"
"1986-01-01","Kancha Gurung","Nepal","Altitude sickness","Makalu"
"1984-09-13","Ram Bahadur Shrestha","Nepal","Altitude sickness","Makalu"
"1983-10-15","Mark Peter Moorhead","Australia","Fall","Makalu"
"1983-10-03","Matthew William ""Bill"" Denz","New Zealand","Avalanche","Makalu"
"1983-01-01","Unknown","Nepal","Unknown","Makalu"
"1982-09-26","Tadeusz Szulc","Poland","Unknown illness","Makalu"
"1978-10-06","Andrzej Młynarczyk","Poland","Avalanche","Makalu"
"1976-05-24","Karel Schubert","Czechoslovakia","Exposure, frostbite","Makalu"
"1973-05-21","Jan Kounický","Czechoslovakia","Fall","Makalu"
"1954-09-26","Dilli Bahadur Verma","Nepal","Pneumonia","Makalu"
"2019-04-29","Phujung Bhote","Nepal","Fall into crevasse","Cho Oyu"
"2018-05-16","Park Shin-yong","South Korea","Exhaustion, altitude sickness","Cho Oyu"
"2011-09-26","Joerg Henry Manuel Henning","Germany","Avalanche","Cho Oyu"
"2011-09-23","Rostislav Krpec","Czech Republic","Unknown illness","Cho Oyu"
"2011-05-22","Ronald Naar","Netherlands","Altitude sickness","Cho Oyu"
"2010-10-03","Walter Nones","Italy","Fall","Cho Oyu"
"2010-05-03","Serguey Nikitin","Russia","HACE","Cho Oyu"
"2009-09-26","Clifton Harlan Wells ""Cliff"" Maloney","United States","Unknown illness","Cho Oyu"
"2009-06-02","Dennis Verhoeve","Netherlands","Fall","Cho Oyu"
"2008-10-04","Miha Valič","Slovenia","Altitude sickness","Cho Oyu"
"2008-10-03","Guy Leveille","Canada","Fall","Cho Oyu"
"2006-05-09","Raymund M. Spang","Germany","Fall","Cho Oyu"
"2005-05-11","Lubos Stacho","Slovakia","Unknown illness","Cho Oyu"
"2004-10-13","Xabier Ormazabal","Spain","Exhaustion, fall","Cho Oyu"
"2003-10-06","Christos Barouchas","Greece","Exhaustion","Cho Oyu"
"2003-05-16","Guenter Welkisch","Germany","Altitude sickness","Cho Oyu"
"2003-05-14","Paul Bernard Carr","Australia","Heart attack","Cho Oyu"
"2002-05-14","Adam Joseph Cinnamond","United Kingdom","Fall into crevasse","Cho Oyu"
"2002-04-30","Chhong Ringee Sherpa","Nepal","Unknown","Cho Oyu"
"2001-09-09","Kim Su-ya","South Korea","Altitude sickness","Cho Oyu"
"2000-10-11","Pavle Milošević","Yugoslavia","HAPE, heart problems","Cho Oyu"
"2000-09-20","Pemba Gyalzen Sherpa","Nepal","Avalanche","Cho Oyu"
"2000-09-20","Pasang Nuru Sherpa","Nepal","Avalanche","Cho Oyu"
"2000-09-20","Pasang Nima Sherpa","Nepal","Avalanche","Cho Oyu"
"2000-05-04","Pavel Bonadyssenko","Russia","Fall","Cho Oyu"
"2000-05-04","Noora Toivonen","Finland","Fall","Cho Oyu"
"1999-01-01","Joan Carrillo Junca","Spain","Fall","Cho Oyu"
"1998-09-26","Alexander ""Alex"" Jaggi","Switzerland","Unknown illness","Cho Oyu"
"1998-05-13","Gerald Roesner","Germany","Fall","Cho Oyu"
"1998-04-30","Viktor Stepanov","Russia","Unknown illness","Cho Oyu"
"1996-10-10","Lubos Becak","Czech Republic","Altitude sickness","Cho Oyu"
"1996-10-06","Oya Hiroshi","Japan","Altitude sickness","Cho Oyu"
"1996-04-20","Friedrich ""Fritz"" Zintl","Germany","Unknown illness","Cho Oyu"
"1994-10-08","Lhakpa Gyalu Sherpa","Nepal","Unknown illness","Cho Oyu"
"1994-01-24","Juan Carlos Piedra","Switzerland","Fall","Cho Oyu"
"1994-01-24","Jean-Luc Beausire","Switzerland","Fall","Cho Oyu"
"1992-05-20","Philippe Gerard Arnold Monnerat","Switzerland","Fall","Cho Oyu"
"1991-10-21","Yuri Grebeniuk","Soviet Union","Falling rock/ice","Cho Oyu"
"1991-05-11","Horst Wasmann","Germany","Fall","Cho Oyu"
"1990-01-01","Chandra Gurung","Nepal","Unknown illness","Cho Oyu"
"1989-12-25","Ang Lhakpa Nuru Sherpa","Nepal","Fall","Cho Oyu"
"1988-09-29","Daniel Bovero","France","Altitude sickness","Cho Oyu"
"1988-05-12","Stefan Wörner","Switzerland","Altitude sickness","Cho Oyu"
"1986-10-23","Pierre-Alain Steiner","Switzerland","Fall","Cho Oyu"
"1982-05-19","Reinhard Karl","West Germany","Avalanche","Cho Oyu"
"1964-05-07","Alois Thurmayr","West Germany","Altitude sickness","Cho Oyu"
"1964-05-04","Georg Huber","West Germany","Altitude sickness","Cho Oyu"
"1959-10-02","Chhowang Sherpa","Nepal","Avalanche","Cho Oyu"
"1959-10-02","Ang Norbu Sherpa","Nepal","Avalanche","Cho Oyu"
"1959-10-02","Claudine van der Straten-Ponthoz","Belgium","Avalanche","Cho Oyu"
"1959-10-02","Claude Kogan","France","Avalanche","Cho Oyu"
"1958-04-28","Narendra Dhar ""Nandu"" Jayal","India","Altitude sickness","Cho Oyu"
"2022-04-12","Antonios Sykaris","Greece","Illness","Dhaulagiri I"
"2018-09-27","Dawa Gyaljen Sherpa","Nepal","Avalanche","Dhaulagiri I"
"2018-04-30","Simone La Terra","Italy","Storm","Dhaulagiri I"
"2017-05-20","Ang Ngima Sherpa","Nepal","Fall/Exposure","Dhaulagiri I"
"2016-05-19","Rajib Bhattacharya","India","Altitude sickness","Dhaulagiri I"
"2016-05-16","Christiaan Johan Wilson","Netherlands","Disappeared","Dhaulagiri I"
"2014-10-15","Ján Matlák","Slovakia","Avalanche","Dhaulagiri I"
"2014-10-15","Vladimír Švancár","Slovakia","Avalanche","Dhaulagiri I"
"2014-10-15","Bhoj Kumar Rai","Nepal","Avalanche","Dhaulagiri I"
"2014-10-15","Gopal Rai","Nepal","Avalanche","Dhaulagiri I"
"2014-10-15","Dorje Sherpa","Nepal","Avalanche","Dhaulagiri I"
"2013-05-26","Juanjo Garra","Spain","Fall and exposure","Dhaulagiri I"
"2013-05-23","Chizuko Kono","Japan","Exhaustion","Dhaulagiri I"
"2013-05-23","Dawa Sherpa","Nepal","Disappeared","Dhaulagiri I"
"2010-09-28","Daisuke Honda","Japan","Avalanche","Dhaulagiri I"
"2010-09-28","Osamu Tanabe","Japan","Avalanche","Dhaulagiri I"
"2010-09-28","Pasang Gyelu","Nepal","Avalanche","Dhaulagiri I"
"2010-09-28","Toshio Yamamoto","Japan","Avalanche","Dhaulagiri I"
"2010-05-13","Zhao Liang","China","Fall","Dhaulagiri I"
"2010-05-13","Li Bin","China","Cold/ Exhaustion","Dhaulagiri I"
"2010-05-13","Han Xin","China","Fall","Dhaulagiri I"
"2009-05-01","Mehdi Etemad Far","Iran","Fall","Dhaulagiri I"
"2009-04-08","Piotr Morawski","Poland","Fall into crevasse","Dhaulagiri I"
"2008-05-05","Rafael Guillén","Spain","Fall","Dhaulagiri I"
"2008-05-05","Darío Bracali","Argentina","Disappeared","Dhaulagiri I"
"2007-05-12","Santiago Sagaste","Spain","Avalanche","Dhaulagiri I"
"2007-05-12","Ricardo Valencia","Spain","Avalanche","Dhaulagiri I"
"2007-04-30","Sergio Dalla Longa","Italy","Fall","Dhaulagiri I"
"2001-10-14","Yukihiko Shinagawa","Japan","Disappeared","Dhaulagiri I"
"2001-10-14","Ryushi Hoshino","Japan","Disappeared","Dhaulagiri I"
"2001-10-14","Masashi Fukumoto","Japan","Disappeared","Dhaulagiri I"
"2001-10-11","Jose Antonio Garces","Spain","Fall","Dhaulagiri I"
"2000-10-07","Gyalzen Chuldim","Nepal","Avalanche","Dhaulagiri I"
"2000-09-29","Soo-ho Lee","South Korea","Avalanche","Dhaulagiri I"
"1999-10-24","Ginette Harrison","United Kingdom","Avalanche","Dhaulagiri I"
"1999-10-24","Dawa Dorje","Nepal","Avalanche","Dhaulagiri I"
"1998-10-02","Charalampos (Babis) Tsoupras","Greece","Fall","Dhaulagiri I"
"1998-05-11","Chantal Mauduit","France","Avalanche","Dhaulagiri I"
"1998-05-11","Ang Tshering","Nepal","Avalanche","Dhaulagiri I"
"1998-05-01","Nikos Papandreou","Greece","Fall","Dhaulagiri I"
"1995-10-06","Isayoshi Tawaraya","Japan","Disappeared","Dhaulagiri I"
"1995-05-15","Albrecht Hammann","Germany","Exposure","Dhaulagiri I"
"1994-10-18","Galina Chekanova","Ukraine","Fall","Dhaulagiri I"
"1994-09-26","Robert Bähler","Switzerland","Fall","Dhaulagiri I"
"1993-10-06","Gary Ball","New Zealand","Altitude Sickness","Dhaulagiri I"
"1992-05-11","Sanda Dumitrescu-Isaila","Romania","Disappeared","Dhaulagiri I"
"1992-05-11","Taina Coliban","Romania","Disappeared","Dhaulagiri I"
"1992-05-02","Hubert Weinzierl","Germany","Heart Failure","Dhaulagiri I"
"1990-10-31","Dainius Makauskas","Lithuania","Disappeared","Dhaulagiri I"
"1990-04-29","Wangel","Nepal","Avalanche","Dhaulagiri I"
"1989-12-25","Scot McGrath","United States","Avalanche","Dhaulagiri I"
"1989-12-25","Gregory Barber","United States","Avalanche","Dhaulagiri I"
"1989-12-25","Wangchuk Nuru","Nepal","Avalanche","Dhaulagiri I"
"1989-10-10","Francesc (Quico) Dalmases","Spain","Disappeared","Dhaulagiri I"
"1989-09-25","Sarki Kami","Nepal","Avalanche","Dhaulagiri I"
"1989-09-25","Ajiwa","Nepal","Avalanche","Dhaulagiri I"
"1986-09-21","Franz Mülleder","Austria","Edema","Dhaulagiri I"
"1984-10-23","Jan Simon","Czechoslovakia","Fall","Dhaulagiri I"
"1981-05-23","Mario Serrano","Argentina","Cold/Exhaustion","Dhaulagiri I"
"1980-10-07","Lynette R. Griffith","Australia","Avalanche","Dhaulagiri I"
"1979-05-14","Sherpa Pemba","Nepal","Disappeared","Dhaulagiri I"
"1979-05-13","Jean-Louis Sabarly","France","Avalanche","Dhaulagiri I"
"1979-05-13","Eric Poumailloux","France","Avalanche","Dhaulagiri I"
"1978-10-20","Katsuyoshi Kogure","Japan","Fall/Exposure","Dhaulagiri I"
"1978-09-23","Kiyoshi Kobayashi","Japan","Avalanche","Dhaulagiri I"
"1978-09-23","Yujiro Fukasawa","Japan","Avalanche","Dhaulagiri I"
"1978-09-23","Hiroshi Akuzawa","Japan","Avalanche","Dhaulagiri I"
"1978-04-21","Katsumi Naganuma","Japan","Exhaustion","Dhaulagiri I"
"1975-03-26","Yoshitada Numao","Japan","Avalanche","Dhaulagiri I"
"1975-03-26","Tetsu Imura","Japan","Avalanche","Dhaulagiri I"
"1975-03-26","Pasang Kami","Nepal","Avalanche","Dhaulagiri I"
